ID,Title,Question,Chose_A,Chose_B,Chose_C,Chose_D,Chose_E,Correct,Answered,Explain
103334,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 9
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A company wants to share information with a third party. The third party has an
HTTP API endpoint that the company can use to share the information. The company
has the required API key to access the HTTP API.
The company needs a way to manage the API key by using code. The integration of
the API key with the application code cannot affect application performance.
Which solution will meet these requirements MOST securely?",Store the API credentials in AWS Secrets Manager. Retrieve the API credentials at runtime by using the AWS SDK. Use the credentials to make the API call.,Store the API credentials in a local code variable. Push the code to a secure Git repository. Use the local code variable at runtime to make the API call.,Store the API credentials as an object in a private Amazon S3 bucket. Restrict access to the S3 object by using IAM policies. Retrieve the API credentials at runtime by using the AWS SDK. Use the credentials to make the API call.,Store the API credentials in an Amazon DynamoDB table. Restrict access to the table by using resource-based policies. Retrieve the API credentials at runtime by using the AWS SDK. Use the credentials to make the API call.,,"[{""voted_answers"": ""A"", ""vote_count"": 65, ""is_most_voted"": true}]",A,"Storing API credentials in AWS Secrets Manager is a best practice for managing secrets securely, as it provides encryption at rest, access control, and easy retrieval using the AWS SDK."
103335,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 10
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer is deploying a new application to Amazon Elastic Container Service
(Amazon ECS). The developer needs to securely store and retrieve different types
of variables. These variables include authentication information for a remote
API, the URL for the API, and credentials. The authentication information and
API URL must be available to all current and future deployed versions of the
application across development, testing, and production environments.
How should the developer retrieve the variables with the FEWEST application
changes?",Update the application to retrieve the variables from AWS Systems Manager Parameter Store. Use unique paths in Parameter Store for each variable in each environment. Store the credentials in AWS Secrets Manager in each environment.,Update the application to retrieve the variables from AWS Key Management Service (AWS KMS). Store the API URL and credentials as unique keys for each environment.,Update the application to retrieve the variables from an encrypted file that is stored with the application. Store the API URL and credentials in unique files for each environment.,Update the application to retrieve the variables from each of the deployed environments. Define the authentication information and API URL in the ECS task definition as unique names during the deployment process.,,"[{""voted_answers"": ""A"", ""vote_count"": 19, ""is_most_voted"": true}]",A,"Using AWS Systems Manager Parameter Store allows for secure management of configuration variables, and storing sensitive information in AWS Secrets Manager is a recommended practice for managing credentials."
103439,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 12
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer is creating an application that will give users the ability to store
photos from their cellphones in the cloud. The application needs to support tens
of thousands of users. The application uses an Amazon API Gateway REST API that
is integrated with AWS Lambda functions to process the photos. The application
stores details about the photos in Amazon DynamoDB.
Users need to create an account to access the application. In the application,
users must be able to upload photos and retrieve previously uploaded photos. The
photos will range in size from 300 KB to 5 MB.
Which solution will meet these requirements with the LEAST operational overhead?",Use Amazon Cognito user pools to manage user accounts. Create an Amazon Cognito user pool authorizer in API Gateway to control access to the API. Use the Lambda function to store the photos and details in the DynamoDB table. Retrieve previously uploaded photos directly from the DynamoDB table.,Use Amazon Cognito user pools to manage user accounts. Create an Amazon Cognito user pool authorizer in API Gateway to control access to the API. Use the Lambda function to store the photos in Amazon S3. Store the object's S3 key as part of the photo details in the DynamoDB table. Retrieve previously uploaded photos by querying DynamoDB for the S3 key.,Create an IAM user for each user of the application during the sign-up process. Use IAM authentication to access the API Gateway API. Use the Lambda function to store the photos in Amazon S3. Store the object's S3 key as part of the photo details in the DynamoDB table. Retrieve previously uploaded photos by querying DynamoDB for the S3 key.,Create a users table in DynamoDB. Use the table to manage user accounts. Create a Lambda authorizer that validates user credentials against the users table. Integrate the Lambda authorizer with API Gateway to control access to the API. Use the Lambda function to store the photos in Amazon S3. Store the object's S3 key as par of the photo details in the DynamoDB table. Retrieve previously uploaded photos by querying DynamoDB for the S3 key.,,"[{""voted_answers"": ""B"", ""vote_count"": 26, ""is_most_voted"": true}]",B,Cognito user pools for authentication and S3 for storing photos with DynamoDB metadata is the correct and standard architecture.
103442,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 13
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A company receives food orders from multiple partners. The company has a
microservices application that uses Amazon API Gateway APIs with AWS Lambda
integration. Each partner sends orders by calling a customized API that is
exposed through API Gateway. The API call invokes a shared Lambda function to
process the orders.
Partners need to be notified after the Lambda function processes the orders.
Each partner must receive updates for only the partner's own orders. The company
wants to add new partners in the future with the fewest code changes possible.
Which solution will meet these requirements in the MOST scalable way?",Create a different Amazon Simple Notification Service (Amazon SNS) topic for each partner. Configure the Lambda function to publish messages for each partner to the partner's SNS topic.,Create a different Lambda function for each partner. Configure the Lambda function to notify each partner's service endpoint directly.,Create an Amazon Simple Notification Service (Amazon SNS) topic. Configure the Lambda function to publish messages with specific attributes to the SNS topic. Subscribe each partner to the SNS topic. Apply the appropriate filter policy to the topic subscriptions.,Create one Amazon Simple Notification Service (Amazon SNS) topic. Subscribe all partners to the SNS topic.,,"[{""voted_answers"": ""C"", ""vote_count"": 41, ""is_most_voted"": true},
{""voted_answers"": ""A"", ""vote_count"": 10, ""is_most_voted"": false}]",C,Using a single SNS topic with message attributes and subscription filter policies allows partners to receive only relevant messages without duplicating topics or Lambda functions.
103444,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 16
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer has written an AWS Lambda function. The function is CPU-bound. The
developer wants to ensure that the function returns responses quickly.
How can the developer improve the function's performance?",Increase the function's CPU core count.,Increase the function's memory.,Increase the function's reserved concurrency.,Increase the function's timeout.,,"[{""voted_answers"": ""B"", ""vote_count"": 45, ""is_most_voted"": true},
{""voted_answers"": ""A"", ""vote_count"": 1, ""is_most_voted"": false}]",B,"Increasing AWS Lambda memory also increases CPU and network throughput, improving function performance."
103466,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 18
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A company is building a serverless application on AWS. The application uses an
AWS Lambda function to process customer orders 24 hours a day, 7 days a week.
The Lambda function calls an external vendor's HTTP API to process payments.
During load tests, a developer discovers that the external vendor payment
processing API occasionally times out and returns errors. The company expects
that some payment processing API calls will return errors.
The company wants the support team to receive notifications in near real time
only when the payment processing external API error rate exceed 5% of the total
number of transactions in an hour. Developers need to use an existing Amazon
Simple Notification Service (Amazon SNS) topic that is configured to notify the
support team.
Which solution will meet these requirements?",Write the results of payment processing API calls to Amazon CloudWatch. Use Amazon CloudWatch Logs Insights to query the CloudWatch logs. Schedule the Lambda function to check the CloudWatch logs and notify the existing SNS topic.,Publish custom metrics to CloudWatch that record the failures of the external payment processing API calls. Configure a CloudWatch alarm to notify the existing SNS topic when error rate exceeds the specified rate.,Publish the results of the external payment processing API calls to a new Amazon SNS topic. Subscribe the support team members to the new SNS topic.,Write the results of the external payment processing API calls to Amazon S3. Schedule an Amazon Athena query to run at regular intervals. Configure Athena to send notifications to the existing SNS topic when the error rate exceeds the specified rate.,,"[{""voted_answers"": ""B"", ""vote_count"": 32, ""is_most_voted"": true}]",B,Publishing custom CloudWatch metrics and creating an alarm is the correct and simplest way to track API failure rates and notify the existing SNS topic.
103467,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 19
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A company is offering APIs as a service over the internet to provide
unauthenticated read access to statistical information that is updated daily.
The company uses Amazon API Gateway and AWS Lambda to develop the APIs. The
service has become popular, and the company wants to enhance the responsiveness
of the APIs.
Which action can help the company achieve this goal?",Enable API caching in API Gateway.,Configure API Gateway to use an interface VPC endpoint.,Enable cross-origin resource sharing (CORS) for the APIs.,Configure usage plans and API keys in API Gateway.,,"[{""voted_answers"": ""A"", ""vote_count"": 47, ""is_most_voted"": true}]",A,"API caching in API Gateway is commonly the correct choice when improving performance and reducing latency or backend load, which aligns with typical scenarios for this question."
103468,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 20
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer wants to store information about movies. Each movie has a title,
release year, and genre. The movie information also can include additional
properties about the cast and production crew. This additional information is
inconsistent across movies. For example, one movie might have an assistant
director, and another movie might have an animal trainer.
The developer needs to implement a solution to support the following use cases:
For a given title and release year, get all details about the movie that has
that title and release year.
For a given title, get all details about all movies that have that title.
For a given genre, get all details about all movies in that genre.
Which data store configuration will meet these requirements?",Create an Amazon DynamoDB table. Configure the table with a primary key that consists of the title as the partition key and the release year as the sort key. Create a global secondary index that uses the genre as the partition key and the title as the sort key.,Create an Amazon DynamoDB table. Configure the table with a primary key that consists of the genre as the partition key and the release year as the sort key. Create a global secondary index that uses the title as the partition key.,"On an Amazon RDS DB instance, create a table that contains columns for title, release year, and genre. Configure the title as the primary key.","On an Amazon RDS DB instance, create a table where the primary key is the title and all other data is encoded into JSON format as one additional column.",,"[{""voted_answers"": ""A"", ""vote_count"": 37, ""is_most_voted"": true}]",A,"The schema in option A provides efficient access patterns for querying by title and release year using the primary key, and by genre using a GSI."
103510,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 25
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A company is migrating an on-premises database to Amazon RDS for MySQL. The
company has read-heavy workloads. The company wants to refactor the code to
achieve optimum read performance for queries.
Which solution will meet this requirement with LEAST current and future effort?",Use a multi-AZ Amazon RDS deployment. Increase the number of connections that the code makes to the database or increase the connection pool size if a connection pool is in use.,Use a multi-AZ Amazon RDS deployment. Modify the code so that queries access the secondary RDS instance.,Deploy Amazon RDS with one or more read replicas. Modify the application code so that queries use the URL for the read replicas.,Use open source replication software to create a copy of the MySQL database on an Amazon EC2 instance. Modify the application code so that queries use the IP address of the EC2 instance.,,"[{""voted_answers"": ""C"", ""vote_count"": 46, ""is_most_voted"": true},
{""voted_answers"": ""B"", ""vote_count"": 2, ""is_most_voted"": false}]",C,"Read replicas offload read traffic from the primary RDS instance. Multi-AZ is only for failover, not read scaling."
103513,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 31
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer has an application that stores data in an Amazon S3 bucket. The
application uses an HTTP API to store and retrieve objects. When the PutObject
API operation adds objects to the S3 bucket the developer must encrypt these
objects at rest by using server-side encryption with Amazon S3 managed keys
(SSE-S3).
Which solution will meet this requirement?",Create an AWS Key Management Service (AWS KMS) key. Assign the KMS key to the S3 bucket.,Set the x-amz-server-side-encryption header when invoking the PutObject API operation.,Provide the encryption key in the HTTP header of every request.,Apply TLS to encrypt the traffic to the S3 bucket.,,"[{""voted_answers"": ""B"", ""vote_count"": 16, ""is_most_voted"": true},
{""voted_answers"": ""C"", ""vote_count"": 1, ""is_most_voted"": false}]",B,"Setting the x-amz-server-side-encryption header during PutObject enables S3-managed server-side encryption (SSE-S3), which is the correct method for encrypting objects at upload."
